RFP,RFP,RFP,RFP,RFP
122.2709,118.6738,148.705,124.231,131.1935
129.6981,116.0418,142.162,122.133,134.5078
136.5811,115.7507,135.111,117.957,135.4324
139.5594,115.6639,126.708,114.472,138.1412
143.8892,121.5141,121.037,112.625,134.4022
148.3769,133.442,119.996,112.863,132.5262
151.7063,140.6609,123.251,114.704,132.3072
156.7609,144.7474,126.906,117.794,132.8361
162.0519,148.2376,131.098,118.549,131.5235
166.5037,151.9903,137.165,121.466,131.8139
167.2416,154.1357,143.825,125.555,132.8963
170.8744,155.9482,146.445,128.817,134.2153
172.3552,158.5244,150.616,135.492,135.2369
171.3536,161.7072,153.754,137.859,137.8196
174.5178,164.4846,158.063,143.54,138.8412
175.5603,164.3646,159.349,149.749,140.6792
178.1734,163.1688,161.953,154.024,143.5058
178.5482,162.8003,165.476,157.795,144.9153
179.3726,163.3168,166.912,165.245,145.0491
177.03,164.8938,166.881,172.994,147.5164
175.1199,164.3272,170.067,177.524,151.5295
171.1791,163.589,169.107,179.268,154.4266
169.8143,162.0602,168.047,182.028,157.3166
167.3279,161.2545,169.702,185.054,159.2967
165.9138,158.6449,170.247,186.347,161.8655
162.0029,156.0832,168.361,187.081,160.9204
159.3646,153.51,167.785,185.71,162.3278
161.1842,150.3191,165.337,185.144,164.2966
158.435,148.7872,162.59,182.152,162.6894
157.4729,147.5537,161.575,179.136,163.0211
153.584,144.4802,160.609,176.772,161.3133
147.0552,141.8383,160.18,173.232,160.1941
142.7133,137.721,158.507,170.082,156.9278
139.1167,135.6918,156.565,168.513,154.8075
135.0205,132.5193,155.57,169.184,153.4961
132.1124,126.8812,154.704,169.061,149.7722
124.9827,120.8791,154.239,169.25,146.254
123.7448,115.7898,151.35,166.244,143.6789
122.2829,113.2605,149.944,165.699,139.937
121.3962,110.486,148.333,165.01,136.6803
121.4383,108.2979,146.49,165.468,134.976
120.5087,106.289,144.546,160.508,131.1685
118.5921,100.2628,140.46,158.051,128.2243
-63.673,94.9874,137.955,157.328,124.7625
-63.673,91.1239,134.069,153.346,118.8333
-63.673,87.3527,131.161,150.682,113.4881
-63.673,84.9881,130.303,146.779,109.2155
-63.673,-63.673,126.726,143.316,106.2586
-63.673,-63.673,124.215,138.683,102.3351
-63.673,-63.673,123.456,132.755,101.9688
-63.673,-63.673,118.659,126.29,101.8182
-63.673,-63.673,114.071,116.651,102.5526
-63.673,-63.673,109.774,108.019,103.8711
-63.673,-63.673,103.009,100.084,104.1622
-63.673,-63.673,93.036,92.104,106.1532
-63.673,-63.673,80.959,85.581,107.3787
-63.673,-63.673,73.268,82.277,108.7636
-63.673,-63.673,69.61,81.028,109.6245
-63.673,-63.673,69.041,78.21,-63.673
-63.673,-63.673,70.172,77.154,-63.673
-63.673,-63.673,70.842,76.605,-63.673
-63.673,-63.673,74.402,74.654,-63.673
-63.673,-63.673,78.516,74.346,-63.673
-63.673,-63.673,80.427,72.377,-63.673
-63.673,-63.673,81.511,69.809,-63.673
-63.673,-63.673,-63.673,68.914,-63.673
