RFP-BG,RFP-BG,RFP-BG,RFP-BG
288.894,142.116,168.727,145.449
287.791,144.771,158.735,136.038
290.079,143.568,164.23,137.343
285.026,138.442,166.098,138.248
285.07,144.745,153.649,139.159
291.644,147.473,152.871,149.291
299.657,163.603,155.867,148.964
296.135,193.674,155.191,158.881
284.856,218.299,158.027,169.551
279.037,227.371,163.14,183.094
282.147,226.124,170.692,203.064
295.56,239.938,174.361,225.072
306.907,256.415,178.907,250.388
313.682,271.137,186.762,294.691
316.405,280.898,189.78,339.814
332.582,288.172,202.149,399.72
364.452,282.924,230.425,420.462
388.926,274.857,265.147,447.859
405.53,275.394,289.432,426.48
415.887,287.692,260.345,383.894
393.08,285.197,205.005,341.752
336.61,272.064,160.863,300.931
272.338,253.471,144.821,268.056
221.638,253.586,142.247,232.602
179.384,251.727,137.967,204.762
152.643,261.414,148.533,179.391
130.378,260.874,158.886,172.124
117.274,268.204,172.908,159.108
107.45,275.034,193.745,146.677
102.059,282.192,211.818,132.63
96.91,285.239,229.289,129.112
96.596,301.92,266.412,130.89
95.203,317.987,306.805,135.595
89.227,336.094,347.261,146.429
86.936,381.897,389.028,150.694
88.601,440.294,399.486,163.245
84.056,514.318,420.747,186.836
84.708,562.979,404.015,221.508
87.812,567.019,394.643,253.313
88.117,542.657,335.283,271.484
88.704,503.8,291.949,270.037
92.087,469.176,275.286,287.934
95.756,421.108,280.252,300.795
94.624,375.583,299.689,289.882
105.005,348.36,300.489,281.522
106.056,305.85,282.461,310.203
108.162,269.104,259.083,367.271
126.412,241.098,238.102,378.916
144.563,233.331,224.887,343.98
159.715,214.139,213.036,272.405
191.194,202.533,208.06,218.595
242.673,198.974,192.956,177.399
299.559,187.072,174.676,153.378
359.513,183.953,159.201,144.554
375.122,182.909,150.747,140.207
354.56,176.005,149.326,137.233
313.264,,156.516,134.17
278.1,,160.117,146.56
256.827,,163.089,
253.645,,166.936,
237.913,,162.227,
212.371,,,
193.966,,,
189.423,,,
184.944,,,
181.108,,,
183.894,,,
